#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
93.634,ACA Support for Demonstration Ombudsman Programs Serving Beneficiaries of State Demonstrations to Integrate Care for Medicare-Medicaid,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Cooperative Agreements,7/4/2015 5:00,6/26/2013 17:15
93.638,ACA-Transforming Clinical Practice Initiative: Practice Transformation Networks (PTNs),Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Cooperative Agreements,8/27/2015 5:02,10/22/2014 17:41
93.644,Adult Medicaid Quality: Improving Maternal and Infant Health Outcomes in Medicaid and CHIP,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Cooperative Agreements,5/4/2015 10:56,5/4/2015 10:56
93.646,ACA – Testing a Model of Data Aggregation under the Comprehensive Primary Care initiative,Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - Cooperative Agreements,5/18/2015 9:13,5/18/2015 9:13
93.448,Food Safety and Security Monitoring Project,Department of Health and Human Services / Food and Drug Administration,B - Cooperative Agreements,9/7/2015 5:00,1/1/2005 0:00
93.449,Ruminant Feed Ban Support Project,Department of Health and Human Services / Food and Drug Administration,B - Cooperative Agreements,9/7/2015 5:00,1/1/2005 0:00
93.876,Antimicrobial Resistance Surveillance in Retail Food Specimens,Department of Health and Human Services / Food and Drug Administration,B - Cooperative Agreements,1/23/2016 5:00,1/23/2016 5:00
93.011,National Organizations of State and Local Officials,Department of Health and Human Services / Health Resources and Services Administration,B - Cooperative Agreements,9/1/2015 9:28,1/29/2011 21:08
93.129,Technical and Non-Financial Assistance to Health Centers,Department of Health and Human Services / Health Resources and Services Administration,B - Cooperative Agreements,9/2/2015 9:01,1/1/1990 0:00
93.300,National Center for Health Workforce Analysis,Department of Health and Human Services / Health Resources and Services Administration,B - Cooperative Agreements,9/2/2015 9:13,1/1/2002 0:00
93.528,National Forum for State and Territorial Chief Executives,Department of Health and Human Services / Health Resources and Services Administration,B - Cooperative Agreements,9/2/2015 14:43,1/19/2011 11:15
93.350,National Center for Advancing Translational Sciences,Department of Health and Human Services / National Institutes of Health,B - Cooperative Agreements,8/21/2015 5:00,1/22/2012 5:00
93.018,Strengthening Public Health Services at the Outreach Offices of the U.S.-Mexico Border Health Commission,Department of Health and Human Services / Office of the Secretary,B - Cooperative Agreements,9/12/2015 5:00,1/1/2006 0:00
93.057,National Resource Center for HIV Prevention Among Adolescents,Department of Health and Human Services / Office of the Secretary,B - Cooperative Agreements,8/30/2015 5:00,5/22/2014 5:00
93.727,Beacon Communities - Community Health Peer Learning Program,Department of Health and Human Services / Office of the Secretary,B - Cooperative Agreements,9/10/2015 5:00,12/1/2009 14:49
93.830,Interoperability Roadmap: Public/Private Partnership,Department of Health and Human Services / Office of the Secretary,B - Cooperative Agreements,5/17/2015 5:00,5/17/2015 5:00
93.882,High Impact Pilot Awards,Department of Health and Human Services / Office of the Secretary,B - Cooperative Agreements,4/14/2016 5:00,
93.748,PPHF Cooperative Agreements for Prescription Drug Monitoring Program Electronic Health Record (EHR) Integration and Interoperability Expansion,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,B - Cooperative Agreements,9/5/2015 5:00,6/28/2012 15:24
93.764,PPHF- Cooperative Agreements to Implement the National Strategy for Suicide Prevention (Short Title: National Strategy Grants),Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,B - Cooperative Agreements,9/5/2015 5:00,6/1/2014 5:00
97.007,Homeland Security Preparedness Technical Assistance Program,Department of Homeland Security,B - Cooperative Agreements,8/16/2015 5:00,1/1/2003 0:00
97.023,Community Assistance Program State Support Services Element (CAP-SSSE),Department of Homeland Security,B - Cooperative Agreements,9/10/2015 5:00,1/1/2003 0:00
97.045,Cooperating Technical Partners,Department of Homeland Security,B - Cooperative Agreements,9/12/2015 5:01,1/1/2003 0:00
97.080,Information Analysis Infrastructure Protection (IAIP) and Critical Infrastructure Monitoring and Protection,Department of Homeland Security,B - Cooperative Agreements,7/10/2015 5:00,1/1/2005 0:00
97.082,Earthquake Consortium,Department of Homeland Security,B - Cooperative Agreements,8/16/2015 5:00,1/1/2005 0:00
97.088,Disaster Assistance Projects,Department of Homeland Security,B - Cooperative Agreements,9/22/2015 5:00,1/1/2005 0:00
97.123,Multi-State Information Sharing and Analysis Center,Department of Homeland Security,B - Cooperative Agreements,5/29/2015 5:00,6/15/2010 14:01
14.259,Community Compass Technical Assistance and Capacity Building,Department of Housing and Urban Development / Office of Community Planning and Development,B - Cooperative Agreements,8/7/2015 5:01,7/19/2010 13:58
14.261,Homeless Management Information Systems Technical Assistance,Department of Housing and Urban Development / Office of Community Planning and Development,B - Cooperative Agreements,8/28/2014 5:00,9/10/2010 12:04
14.416,Education and Outreach Initiatives,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,B - Cooperative Agreements,8/14/2015 5:00,7/21/2009 17:53
14.418,Private Enforcement Initiatives,Department of Housing and Urban Development / Office of Fair Housing and Equal Opportunity,B - Cooperative Agreements,8/14/2015 5:00,7/21/2009 17:53
14.906,Healthy Homes Technical Studies Grants,Department of Housing and Urban Development / Office of Healthy Homes and Lead Hazard Control,B - Cooperative Agreements,7/30/2011 5:00,1/1/2004 0:00
14.008,Transformation Initiative: Choice Neighborhoods Demonstration Small Research Grant Program,Department of Housing and Urban Development / Office of Policy Development and Research,B - Cooperative Agreements,2/7/2012 14:19,2/3/2012 5:00
14.523,Transformation Initiative Research Grants: Sustainable Community Research Grant Program,Department of Housing and Urban Development / Office of Policy Development and Research,B - Cooperative Agreements,6/22/2014 5:00,7/12/2010 6:56
14.536,"Research and Evaluations, Demonstrations, and Data Analysis and Utilization",Department of Housing and Urban Development / Office of Policy Development and Research,B - Cooperative Agreements,6/16/2014 12:55,6/14/2014 5:00
16.746,Capital Case Litigation Initiative,Department of Justice / Bureau of Justice Assistance,B - Cooperative Agreements,9/6/2015 5:00,1/1/2006 0:00
16.550,State Justice Statistics Program for Statistical Analysis Centers,Department of Justice / Bureau of Justice Statistics,B - Cooperative Agreements,9/17/2015 5:00,1/1/1980 0:00
16.554,National Criminal History Improvement Program (NCHIP),Department of Justice / Bureau of Justice Statistics,B - Cooperative Agreements,9/17/2015 5:00,1/1/1995 0:00
16.734,Special Data Collections and Statistical Studies,Department of Justice / Bureau of Justice Statistics,B - Cooperative Agreements,9/17/2015 5:00,1/1/2003 0:00
16.739,National Prison Rape Statistics Program,Department of Justice / Bureau of Justice Statistics,B - Cooperative Agreements,9/17/2015 5:00,1/1/2005 0:00
16.813,NICS Act Record Improvement Program,Department of Justice / Bureau of Justice Statistics,B - Cooperative Agreements,9/17/2015 5:00,6/30/2009 9:13
16.756,Court Appointed Special Advocates,Department of Justice / Office of Juvenile Justice and Delinquency Prevention,B - Cooperative Agreements,9/13/2015 5:00,1/1/2009 0:00
17.504,Consultation Agreements,Department of Labor / Occupational Safety and Health Administration,B - Cooperative Agreements,7/15/2015 5:00,1/1/1995 0:00
15.222,Cooperative Inspection Agreements with States and Tribes,Department of the Interior / Bureau of Land Management,B - Cooperative Agreements,9/17/2015 5:00,1/1/1990 0:00
15.408,Bureau of Ocean Energy Management Renewable Energy Program,Department of the Interior / Bureau of Ocean Energy Management,B - Cooperative Agreements,9/10/2015 5:00,3/28/2013 5:00
15.421,Alaska Coastal Marine Institute,Department of the Interior / Bureau of Ocean Energy Management,B - Cooperative Agreements,9/10/2015 5:00,1/1/2006 0:00
15.422,Louisiana State University (LSU) Coastal Marine Institute  (CMI),Department of the Interior / Bureau of Ocean Energy Management,B - Cooperative Agreements,9/10/2015 5:00,1/1/2006 0:00
15.423,Bureau of Ocean Energy Management (BOEM) Environmental Studies Program (ESP),Department of the Interior / Bureau of Ocean Energy Management,B - Cooperative Agreements,9/10/2015 5:00,1/1/2006 0:00
15.424,Marine Minerals Activities - Hurricane Sandy,Department of the Interior / Bureau of Ocean Energy Management,B - Cooperative Agreements,9/10/2015 5:00,1/1/2006 0:00
15.506,Water Desalination Research and Development Program,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements,8/28/2015 5:01,1/1/1999 0:00
15.521,Lower Rio Grande Valley Water Resources Conservation and Improvement,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements,9/1/2015 5:01,1/1/2007 0:00
15.533,California Water Security and Environmental Enhancement,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements,9/1/2015 5:01,1/1/2007 0:00
15.541,Colorado River Basin Projects Act of 1968,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements,9/2/2015 5:01,10/16/2009 10:02
15.551,Madera Water Supply Enhancement Project,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements,9/6/2015 5:00,6/4/2011 5:00
15.563,Suisun Marsh Preservation Agreement,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements,9/20/2014 5:01,4/19/2013 5:00
15.441,Safety and Environmental Enforcement Research and Data Collection for Offshore Energy and Mineral Activities,Department of the Interior / Bureau of Safety and Environmental Enforcement,B - Cooperative Agreements,9/10/2015 5:00,8/30/2012 5:05
15.442,Alaska Native Science and Engineering,Department of the Interior / Bureau of Safety and Environmental Enforcement,B - Cooperative Agreements,2/29/2016 5:00,2/29/2016 5:00
15.929,Save America's Treasures,Department of the Interior / National Park Service,B - Cooperative Agreements,8/27/2015 5:02,1/1/2004 0:00
15.931,Conservation Activities by Youth Service Organizations,Department of the Interior / National Park Service,B - Cooperative Agreements,8/28/2015 5:01,1/1/2007 0:00
15.935,National Trails System Projects,Department of the Interior / National Park Service,B - Cooperative Agreements,8/28/2015 5:01,9/28/2009 10:13
15.941,Mississippi National River and Recreation Area State and Local Assistance,Department of the Interior / National Park Service,B - Cooperative Agreements,8/28/2015 5:01,12/2/2010 7:59
15.954,"National Park Service Conservation, Protection, Outreach, and Education",Department of the Interior / National Park Service,B - Cooperative Agreements,8/28/2015 5:01,6/8/2012 5:00
15.958,Route 66 Corridor Preservation Program,Department of the Interior / National Park Service,B - Cooperative Agreements,8/29/2015 5:01,8/29/2015 5:01
15.810,National Cooperative Geologic Mapping Program,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements,8/11/2015 5:00,1/1/1998 0:00
20.318,Maglev Project Selection Program - SAFETEA-LU,Department of Transportation / Federal Railroad Administration (FRA),B - Cooperative Agreements,7/22/2015 5:00,1/1/2008 0:00
20.819,Ballast Water Treatment Technologies,Department of Transportation / Maritime Administration (MARAD),B - Cooperative Agreements,8/8/2015 5:00,12/9/2012 5:00
66.441,Healthy Watersheds Consortium Grant Program,Environmental Protection Agency,B - Cooperative Agreements,9/3/2015 5:01,9/4/2014 5:00
66.508,Senior Environmental Employment Program,Environmental Protection Agency / Office of Administration and Resources Management,B - Cooperative Agreements,9/12/2015 5:00,1/1/1986 0:00
66.518,State Senior Environmental Employment Program,Environmental Protection Agency / Office of Administration and Resources Management,B - Cooperative Agreements,9/11/2015 5:00,1/1/2005 0:00
66.309,"Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice",Environmental Protection Agency / Office of Enforcement and Compliance Assurance,B - Cooperative Agreements,9/12/2015 5:00,1/1/2005 0:00
66.700,Consolidated Pesticide Enforcement Cooperative Agreements,Environmental Protection Agency / Office of Enforcement and Compliance Assurance,B - Cooperative Agreements,9/11/2015 5:00,1/1/1977 0:00
66.701,Toxic Substances Compliance Monitoring Cooperative Agreements,Environmental Protection Agency / Office of Enforcement and Compliance Assurance,B - Cooperative Agreements,11/13/2015 5:01,1/1/1984 0:00
66.612,"Surveys, Studies, Investigations, Training Demonstrations and Educational Outreach Related to Environmental Information and the Release of Toxic Chemicals",Environmental Protection Agency / Office of Environmental Information,B - Cooperative Agreements,9/5/2015 5:00,1/1/2007 0:00
66.802,"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements",Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - Cooperative Agreements,9/10/2015 5:01,1/1/1983 0:00
66.808,Solid Waste Management Assistance Grants,Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - Cooperative Agreements,9/5/2015 5:00,1/1/1989 0:00
66.809,Superfund State and Indian Tribe Core Program Cooperative Agreements,Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - Cooperative Agreements,9/5/2015 5:00,1/1/1991 0:00
66.814,"Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements",Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - Cooperative Agreements,9/5/2015 5:00,1/1/2003 0:00
66.815,Environmental Workforce Development and Job Training Cooperative Agreements,Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - Cooperative Agreements,9/5/2015 5:00,1/1/2003 0:00
66.818,Brownfields Assessment and Cleanup Cooperative Agreements,Environmental Protection Agency / Office of Solid Waste and Emergency Response,B - Cooperative Agreements,9/5/2015 5:00,1/1/2002 0:00
66.609,Protection of Children from Environmental Health Risks,Environmental Protection Agency / Office of the Administrator,B - Cooperative Agreements,9/11/2015 5:00,1/1/2003 0:00
66.461,Regional Wetland Program Development Grants,Environmental Protection Agency / Office of Water,B - Cooperative Agreements,9/11/2015 5:00,1/1/1989 0:00
66.462,National Wetland Program Development Grants and Five-Star Restoration Training Grant,Environmental Protection Agency / Office of Water,B - Cooperative Agreements,9/11/2015 5:00,1/1/2005 0:00
66.475,Gulf of Mexico Program,Environmental Protection Agency / Office of Water,B - Cooperative Agreements,9/12/2015 5:00,1/1/2002 0:00
66.124,Coastal Wetlands Planning Protection and Restoration Act,Environmental Protection Agency / Region 6,B - Cooperative Agreements,9/4/2015 5:00,4/5/2010 7:14
59.058,Federal and State Technology Partnership Program,Small Business Administration,B - Cooperative Agreements,9/19/2015 5:00,3/17/2010 14:03
10.585,FNS Food Safety Grants,Department of Agriculture / Food and Nutrition Service,B - Cooperative Agreements (Discretionary Grants),8/28/2015 5:00,3/17/2010 14:05
10.599,South Carolina SNAP Recipient Trafficking Prosecution Pilot,Department of Agriculture / Food and Nutrition Service,B - Cooperative Agreements (Discretionary Grants),8/29/2015 5:00,8/9/2014 5:00
10.691,Good Neighbor Authority,Department of Agriculture / Forest Service,B - Cooperative Agreements (Discretionary Grants),7/31/2015 5:00,10/1/2009 7:50
10.324,Afghanistan Agricultural Extension Project (AAEP),Department of Agriculture / National Institute of Food and Agriculture,B - Cooperative Agreements (Discretionary Grants),9/18/2015 10:21,5/27/2011 9:34
81.214,"Environmental Monitoring/Cleanup, Cultural and Resource Mgmt., Emergency Response Research, Outreach, Technical Analysis",Department of Energy,B - Cooperative Agreements (Discretionary Grants),9/11/2015 5:00,11/28/2010 12:58
93.076,TANF Program Integrity Innovation Grants,Department of Health and Human Services / Administration for Children and Families,B - Cooperative Agreements (Discretionary Grants),8/22/2015 5:00,6/8/2012 15:49
93.517,Affordable Care Act – Aging and Disability Resource Center,Department of Health and Human Services / Administration for Community Living,B - Cooperative Agreements (Discretionary Grants),8/8/2015 5:00,7/9/2010 11:56
93.747,Elder Abuse Prevention Interventions Program,Department of Health and Human Services / Administration for Community Living,B - Cooperative Agreements (Discretionary Grants),8/5/2015 5:00,6/13/2012 9:46
93.465,Tobacco Prevention and Control Legal Technical Assistance,Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements (Discretionary Grants),12/22/2015 5:01,12/22/2015 5:01
93.724,ARRA - Prevention and Wellness – Communities Putting Prevention to Work Funding Opportunities Announcement (FOA),Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements (Discretionary Grants),6/7/2015 5:00,9/11/2009 8:43
93.942,"Research, Prevention, and Education Programs on Lyme Disease in the United States",Department of Health and Human Services / Centers for Disease Control and Prevention,B - Cooperative Agreements (Discretionary Grants),6/5/2015 5:00,1/1/1992 0:00
16.822,National Center for Campus Public Safety,Department of Justice / Bureau of Justice Assistance,B - Cooperative Agreements (Discretionary Grants),9/18/2015 5:00,5/17/2013 5:00
16.741,DNA Backlog Reduction Program,Department of Justice / National Institute of Justice,B - Cooperative Agreements (Discretionary Grants),9/19/2015 5:00,1/1/2005 0:00
16.021,Justice Systems Response to Families,Department of Justice / Violence Against Women Office,B - Cooperative Agreements (Discretionary Grants),8/28/2014 5:01,11/23/2013 5:00
17.720,Disability Employment Policy Development,Department of Labor / Office of Disability Employment Policy,B - Cooperative Agreements (Discretionary Grants),8/15/2015 5:00,1/1/2002 0:00
15.507,Water SMART (Sustaining and Manage America's Resources for Tomorrow),Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),8/30/2015 5:00,1/1/2004 0:00
15.511,Cultural Resources Management,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),9/1/2015 5:01,1/1/2007 0:00
15.517,Fish and Wildlife Coordination Act,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),9/1/2015 5:01,1/1/2007 0:00
15.524,Recreation Resources Management,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),9/1/2015 5:01,1/1/2008 0:00
15.527,"San Luis Unit, Central Valley Project",Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),9/1/2015 5:01,1/1/2007 0:00
15.537,Middle Rio Grande Endangered Species Collaborative Program,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),9/1/2015 5:01,5/26/2009 15:39
15.538,Lower Colorado River Multi-Species Conservation Program.,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),9/2/2015 5:01,5/26/2009 15:39
15.544,Platte River Recovery Implementation Program,Department of the Interior / Bureau of Reclamation,B - Cooperative Agreements (Discretionary Grants),9/2/2015 5:01,7/30/2010 7:43
15.630,Coastal Program,Department of the Interior / Fish and Wildlife Service,B - Cooperative Agreements (Discretionary Grants),7/14/2015 5:01,1/1/2002 0:00
15.636,Alaska Subsistence Management,Department of the Interior / Fish and Wildlife Service,B - Cooperative Agreements (Discretionary Grants),7/15/2015 5:00,1/1/2004 0:00
15.654,Visitor Facility Enhancements - Refuges and Wildlife,Department of the Interior / Fish and Wildlife Service,B - Cooperative Agreements (Discretionary Grants),7/22/2015 5:00,1/1/2007 0:00
15.655,"Migratory Bird Monitoring, Assessment and Conservation",Department of the Interior / Fish and Wildlife Service,B - Cooperative Agreements (Discretionary Grants),7/22/2015 5:00,1/1/2008 0:00
15.656,"Recovery Act Funds - Habitat Enhancement, Restoration and Improvement.",Department of the Interior / Fish and Wildlife Service,B - Cooperative Agreements (Discretionary Grants),7/22/2015 5:00,5/27/2009 9:20
15.657,Endangered Species Conservation – Recovery Implementation Funds,Department of the Interior / Fish and Wildlife Service,B - Cooperative Agreements (Discretionary Grants),7/22/2015 5:00,5/26/2009 15:39
15.674,National Fire Plan-Wildland Urban Interface Community Fire Assistance,Department of the Interior / Fish and Wildlife Service,B - Cooperative Agreements (Discretionary Grants),7/30/2015 5:00,11/6/2011 5:00
15.535,Upper Colorado River Basin Fish and Wildlife Mitigation Program,Department of the Interior / Office of the Secretary,B - Cooperative Agreements (Discretionary Grants),9/1/2015 5:01,5/26/2009 15:39
15.809,National Spatial Data Infrastructure Cooperative Agreements Program,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),8/11/2015 5:00,1/1/1997 0:00
15.811,Gap Analysis Program,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),8/11/2015 5:00,1/1/2003 0:00
15.812,Cooperative Research Units Program,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),8/11/2015 5:00,1/1/2003 0:00
15.817,National Geospatial Program: Building The National Map,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),8/11/2015 5:00,5/26/2009 15:39
15.818,Volcano Hazards Program Research and Monitoring,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),8/11/2015 5:00,5/26/2009 15:39
15.978,Upper Mississippi River System Long Term Resource Monitoring Program,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),8/11/2015 5:00,1/1/1998 0:00
15.979,Hurricane Sandy Program,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),8/11/2015 5:00,3/15/2014 5:00
15.980,National Ground-Water Monitoring Network,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),6/21/2015 5:00,6/21/2015 5:00
15.981,Water Use and Data Research,Department of the Interior / U.S. Geological Survey,B - Cooperative Agreements (Discretionary Grants),1/21/2016 5:00,1/21/2016 5:00
15.514,Reclamation States Emergency Drought Relief,Department of the Interior / Bureau of Reclamation,"B - Cooperative Agreements (Discretionary Grants), B - Project Grants (Contracts), C - Direct Payments for Specified Use (Cooperative Agreements)",9/18/2014 5:00,1/1/2007 0:00
10.681,Wood  Education and Resource  Center (WERC),Department of Agriculture / Forest Service,"B - Cooperative Agreements (Discretionary Grants), B - Project Grants (Discretionary)",8/15/2015 5:01,1/1/2008 0:00
10.336,Veterinary Services Grant Program,Department of Agriculture / National Institute of Food and Agriculture,"B - Cooperative Agreements (Discretionary Grants), B - Project Grants (Discretionary)",4/14/2016 5:00,
93.103,Food and Drug Administration_Research,Department of Health and Human Services / Food and Drug Administration,"B - Cooperative Agreements (Discretionary Grants), B - Project Grants (Discretionary)",9/10/2015 5:01,1/1/1990 0:00
93.360,"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development",Department of Health and Human Services / Office of the Secretary,"B - Cooperative Agreements (Discretionary Grants), B - Project Grants (Discretionary)",9/11/2015 5:00,5/11/2010 14:29
15.944,Natural Resource Stewardship,Department of the Interior / National Park Service,"B - Cooperative Agreements (Discretionary Grants), C - Direct Payments for Specified Use",8/28/2015 5:01,12/15/2010 7:44
15.946,Cultural Resources Management,Department of the Interior / National Park Service,"B - Cooperative Agreements (Discretionary Grants), C - Direct Payments for Specified Use (Cooperative Agreements)",8/28/2015 5:01,5/22/2011 5:00
15.945,Cooperative Research and Training Programs – Resources of the National Park System,Department of the Interior / National Park Service,"B - Cooperative Agreements (Discretionary Grants), C - Direct Payments for Specified Use (Cooperative Agreements), I - Use of Property, Facilities, and Equipment, L - Dissemination of Technical Information, M - Training",8/28/2015 5:01,5/22/2011 5:00
15.948,National Fire Plan-Wildland Urban Interface Community Fire Assistance,Department of the Interior / National Park Service,"B - Cooperative Agreements (Discretionary Grants), I - Use of Property, Facilities, and Equipment, J - Provision of Specialized Services, K - Advisory Services and Counseling, L - Dissemination of Technical Information",8/28/2015 5:00,6/10/2011 5:00
15.949,National Fire Plan - Rural Fire Assistance,Department of the Interior / National Park Service,"B - Cooperative Agreements (Discretionary Grants), I - Use of Property, Facilities, and Equipment, J - Provision of Specialized Services, K - Advisory Services and Counseling, L - Dissemination of Technical Information, M - Training",8/28/2015 5:01,6/10/2011 5:00
19.030,Antiterrorism Assistance – Domestic Training Programs,Department of State / Diplomatic Security,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants)",12/25/2013 5:00,1/27/2012 5:01
43.011,Office of Inspector General,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Capacity Building and Complaint Processing, Training), B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants), B - Project Grants (Special), C - Direct Payments for Specified Use, C - Direct Payments for Specified Use (Cooperative Agreements), I - Use of Property, Facilities, and Equipment, J - Provision of Specialized Services, K - Advisory Services and Counseling, K - Advisory Services on Compliance, L - Dissemination of Technical Information, L - Information, N - Investigation of Complaints, N - Investigation of Complaints (Compliance Reviews), N - Resolution of Disputes",11/1/2010 7:36,11/1/2010 7:36
43.001,Science,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Capacity Building and Complaint Processing, Training), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants), C - Direct Payments for Specified Use, C - Direct Payments for Specified Use (Cooperative Agreements), I - Use of Property, Facilities, and Equipment, M - Training",11/18/2015 5:00,1/1/1969 0:00
43.008,Education,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:37,11/1/2010 7:37
43.009,Cross Agency Support,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:33,11/1/2010 7:33
43.010,Construction & Environmental Compliance & Remediation,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Contracts), B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:35,11/1/2010 7:35
43.003,Exploration,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants), C - Direct Payments for Specified Use, C - Direct Payments for Specified Use (Cooperative Agreements), I - Use of Property, Facilities, and Equipment, J - Provision of Specialized Services, L - Dissemination of Technical Information, M - Training",11/18/2015 5:00,11/1/2010 7:38
43.007,Space Operations,National Aeronautics and Space Administration,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (Cooperative Agreements or Contracts), B - Project Grants (Cooperative Agreements), B - Project Grants (Discretionary), B - Project Grants (Fellowships), B - Project Grants (for collaborative design of curriculum, production of, B - Project Grants (for specified projects), B - Project Grants (including individual awards), B - Project Grants (including travel grants)",11/1/2010 7:37,11/1/2010 7:37
19.600,Bureau of Near Eastern Affairs,Department of State / Bureau of Near Eastern Affairs,"B - Cooperative Agreements, B - Cooperative Agreements (Discretionary Grants), B - Project Grants, B - Project Grants (for specified projects)",12/9/2014 11:23,7/27/2011 5:00
10.587,National Food Service Management Institute Administration and Staffing Grant,Department of Agriculture / Food and Nutrition Service,"B - Cooperative Agreements, B - Project Grants",8/28/2015 5:01,8/1/2012 5:02
10.674,Wood Utilization Assistance,Department of Agriculture / Forest Service,"B - Cooperative Agreements, B - Project Grants",8/29/2015 5:01,1/1/2003 0:00
10.684,International Forestry Programs,Department of Agriculture / Forest Service,"B - Cooperative Agreements, B - Project Grants",8/29/2015 5:01,1/1/2008 0:00
10.687,Recovery Act of 2009: Capital Improvement and Maintenance,Department of Agriculture / Forest Service,"B - Cooperative Agreements, B - Project Grants",8/9/2014 5:00,9/22/2009 13:02
